longitude,latitude,flood_susceptibility,risk_class,risk_label
6.950671140939598,5.406376013422818,0.8320107707792617,3.0,high
6.950671140939598,5.406935295302013,0.8335611675824077,3.0,high
6.950671140939598,5.4074945771812075,0.8351382058569694,3.0,high
6.950671140939598,5.408053859060402,0.836736042068849,3.0,high
6.950671140939598,5.408613140939597,0.8383473222195723,3.0,high
6.950671140939598,5.409172422818792,0.8399629429806532,3.0,high
6.950671140939598,5.409731704697987,0.841571798739221,3.0,high
6.950671140939598,5.4102909865771815,0.8431605299281515,3.0,high
6.950671140939598,5.410850268456376,0.8447132986470751,3.0,high
6.950671140939598,5.411409550335571,0.8462116311189902,3.0,high
6.950671140939598,5.411968832214765,0.847634381694472,3.0,high
6.950671140939598,5.41252811409396,0.8489578868245413,3.0,high
6.950671140939598,5.413087395973155,0.8501563843738709,3.0,high
6.950671140939598,5.413646677852349,0.8512027668240949,3.0,high
6.950671140939598,5.414205959731544,0.8520697097703027,3.0,high
6.950671140939598,5.414765241610739,0.8527311675678921,3.0,high
6.950671140939598,5.415324523489933,0.8531641629249296,3.0,high
6.950671140939598,5.415883805369128,0.8533507341269335,3.0,high
6.950671140939598,5.4164430872483225,0.8532798657411471,3.0,high
6.950671140939598,5.417002369127517,0.8529492341038722,3.0,high
6.950671140939598,5.417561651006712,0.8523666488162371,3.0,high
6.950671140939598,5.418120932885906,0.8515511469064396,3.0,high
6.950671140939598,5.418680214765101,0.8505337670459376,3.0,high
6.950671140939598,5.419239496644296,0.8493580710823843,3.0,high
6.950671140939598,5.41979877852349,0.8480804783797304,3.0,high
6.950671140939598,5.420358060402685,0.8467704407301502,3.0,high
6.950671140939598,5.4209173422818795,0.8455104272617426,3.0,high
6.950671140939598,5.421476624161074,0.8443956265092809,3.0,high
6.950671140939598,5.422035906040269,0.8435332197933241,3.0,high
6.950671140939598,5.422595187919463,0.8430410450946919,3.0,high
6.950671140939598,5.423154469798658,0.8430454597314696,3.0,high
6.950671140939598,5.423713751677853,0.8436782281808994,3.0,high
6.950671140939598,5.424273033557047,0.8450723125147115,3.0,high
6.950671140939598,5.424832315436242,0.847356529740422,3.0,high
6.950671140939598,5.4253915973154365,0.8506491618819534,3.0,high
6.950671140939598,5.425950879194631,0.8550507538183425,3.0,high
6.950671140939598,5.426510161073826,0.860636495391023,3.0,high
6.950671140939598,5.42706944295302,0.8674487335071821,3.0,high
6.950671140939598,5.427628724832215,0.8754902639044322,3.0,high
6.950671140939598,5.42818800671141,0.8847190717826416,3.0,high
6.950671140939598,5.428747288590604,0.8950450817429132,3.0,high
6.950671140939598,5.429306570469799,0.9063291843172303,3.0,high
6.950671140939598,5.4298658523489935,0.9183842218676546,3.0,high
6.950671140939598,5.430425134228188,0.9309764379547669,3.0,high
6.950671140939598,5.430984416107383,0.9438230772826468,3.0,high
6.950671140939598,5.431543697986577,0.9565732733482508,3.0,high
6.950671140939598,5.432102979865772,0.9687264654831165,3.0,high
6.950671140939598,5.432662261744967,0.9792901570336747,3.0,high
6.950671140939598,5.433221543624161,0.9854757755773642,3.0,high
6.950671140939598,5.433780825503356,0.9830662881835215,3.0,high
6.950671140939598,5.434340107382551,0.9748123321095012,3.0,high
6.950671140939598,5.434899389261745,0.964841494078718,3.0,high
6.950671140939598,5.43545867114094,0.9545773664895596,3.0,high
6.950671140939598,5.4360179530201345,0.9445194822997818,3.0,high
6.950671140939598,5.436577234899329,0.9348973001116578,3.0,high
6.950671140939598,5.437136516778524,0.9258330981561274,3.0,high
6.950671140939598,5.437695798657718,0.9173924731891254,3.0,high
6.950671140939598,5.438255080536913,0.9096048978622127,3.0,high
6.950671140939598,5.438814362416108,0.9024746007037032,3.0,high
6.950671140939598,5.439373644295302,0.8959876568351441,3.0,high
6.950671140939598,5.439932926174497,0.8901172329076776,3.0,high
6.950671140939598,5.4404922080536915,0.8848276974041671,3.0,high
6.950671140939598,5.441051489932886,0.8800778917197891,3.0,high
6.950671140939598,5.441610771812081,0.8758237137037221,3.0,high
6.950671140939598,5.442170053691275,0.8720201166425845,3.0,high
6.950671140939598,5.44272933557047,0.8686226104026518,3.0,high
6.950671140939598,5.443288617449665,0.865588344663839,3.0,high
